object_id,collection_id,object_name,cielab_l,cielab_a,cielab_b,rgb_r,rgb_g,rgb_b,hsv_h,hsv_s,hsv_v,hex_color,chroma,percentage,image_filename,hue_family,num_original_colors
1,1,shoes,72.02,17.98,0.52,0.872,0.641,0.521,20.6,0.404,0.872,#d1a5b0,17.98621351808509,71.68,fashion-show-1746592.jpg,orange,4
1,1,shoes,37.58,15.02,0.25,0.471,0.312,0.247,16.2,0.479,0.471,#704f58,15.020148699927008,11.92,fashion-show-1746592.jpg,red,3
1,1,shoes,86.94,5.63,0.76,0.934,0.837,0.762,26.0,0.184,0.934,#e5d6d8,5.681332942188831,8.42,fashion-show-1746592.jpg,yellow,1
1,1,shoes,62.57,13.4,0.45,0.732,0.556,0.451,22.4,0.384,0.732,#af8f96,13.407587441445239,5.5,fashion-show-1746592.jpg,beige,1
2,1,bottom,83.95,-2.33,0.83,0.799,0.828,0.832,184.2,0.042,0.832,#cdd2cf,2.4711734772041427,87.89,fashion-show-1746592.jpg,neutral,6
2,1,bottom,86.5,3.99,0.66,0.948,0.833,0.664,35.7,0.3,0.948,#e0d5d7,4.044872803933395,4.17,fashion-show-1746592.jpg,orange,1
2,1,bottom,73.41,7.46,0.5,0.832,0.682,0.495,33.3,0.405,0.832,#c2afb3,7.476404550316951,4.03,fashion-show-1746592.jpg,beige,1
2,1,bottom,53.12,10.93,0.31,0.627,0.468,0.311,29.2,0.504,0.627,#91787e,10.933346587406001,3.9,fashion-show-1746592.jpg,brown,2
3,1,shoes,84.12,6.38,0.74,0.906,0.804,0.737,24.0,0.186,0.906,#decdd0,6.421039699352879,54.11,fashion-show-1746592.jpg,yellow,2
3,1,shoes,28.02,12.04,0.2,0.349,0.234,0.203,11.4,0.448,0.349,#543b42,12.038866477221728,19.94,fashion-show-1746592.jpg,red,4
3,1,shoes,87.83,2.5,0.83,0.898,0.856,0.83,23.3,0.076,0.898,#e1dada,2.6341791890454225,15.64,fashion-show-1746592.jpg,neutral,1
3,1,shoes,68.82,14.11,0.52,0.804,0.619,0.521,20.8,0.352,0.804,#c19fa7,14.119615469268275,4.62,fashion-show-1746592.jpg,beige,1
3,1,shoes,69.37,7.95,0.64,0.733,0.644,0.637,4.5,0.131,0.733,#b8a4a8,7.9754792332498745,3.2,fashion-show-1746592.jpg,magenta,1
4,1,top,16.52,1.42,0.15,0.173,0.158,0.152,83.3,0.166,0.176,#2b2828,1.429428901099498,93.93,fashion-show-1746592.jpg,neutral,7
4,1,top,29.8,10.34,0.17,0.37,0.253,0.174,23.7,0.545,0.37,#564046,10.339108365336914,5.5,fashion-show-1746592.jpg,brown,2
